epoch_millis,thread_label,page
1783518401840,bot-searching-1,HOME
1783518416226,bot-browsing-2,HOME
1783518421300,bot-browsing-2,PRODUCTS
1783518422406,bot-searching-3,HOME
1783518422670,bot-searching-3,PRODUCTS
1783518422807,bot-searching-3,PRODUCT_DETAIL_NOCART
1783518422864,bot-searching-3,PRODUCTS
1783518423539,bot-browsing-4,HOME
1783518423590,bot-searching-3,PRODUCT_DETAIL_CART
1783518431448,bot-searching-1,PRODUCTS
1783518432281,bot-searching-1,PRODUCT_DETAIL_NOCART
1783518432406,bot-searching-1,PRODUCTS
1783518432457,bot-searching-1,PRODUCT_DETAIL_NOCART
1783518436984,bot-browsing-2,PRODUCT_DETAIL
1783518439659,bot-browsing-4,ABOUT
1783518447566,bot-browsing-4,PRODUCTS
1783518447600,bot-browsing-5,HOME
1783518452812,bot-browsing-4,CONTACT
1783518453793,bot-browsing-5,PRODUCTS
1783518455881,bot-browsing-6,HOME
1783518455994,bot-browsing-2,PRODUCTS
1783518458878,bot-browsing-7,HOME
1783518463538,bot-form_filling-8,ABOUT
1783518463959,bot-form_filling-8,HOME
1783518464454,bot-form_filling-8,PRODUCTS
1783518465007,bot-form_filling-8,CONTACT
1783518467272,bot-browsing-4,HOME
1783518469004,bot-form_filling-8,SUBMIT_CONTACT
1783518470040,bot-browsing-4,CONTACT
1783518473099,bot-browsing-9,HOME
1783518475120,bot-browsing-5,PRODUCT_DETAIL
1783518476117,bot-browsing-4,PRODUCTS
1783518480132,bot-browsing-10,HOME
1783518480607,bot-searching-11,HOME
1783518480641,bot-searching-11,PRODUCTS
1783518480812,bot-searching-11,PRODUCT_DETAIL_CART
1783518482136,bot-searching-11,PRODUCTS
1783518482257,bot-browsing-4,PRODUCT_DETAIL
1783518483533,bot-browsing-6,PRODUCTS
1783518483802,bot-searching-12,HOME
1783518484395,bot-searching-12,PRODUCTS
1783518484581,bot-searching-12,PRODUCT_DETAIL_CART
1783518490195,bot-browsing-13,HOME
1783518491964,bot-browsing-2,PRODUCT_DETAIL
1783518495920,bot-browsing-14,HOME
1783518496855,bot-browsing-7,PRODUCTS
1783518497549,bot-browsing-7,CONTACT
1783518497734,bot-browsing-13,PRODUCTS
1783518499845,bot-browsing-15,HOME
1783518500903,bot-browsing-5,PRODUCTS
1783518501112,bot-browsing-16,HOME
1783518503695,bot-searching-17,HOME
1783518503812,bot-searching-17,PRODUCTS
1783518503876,bot-searching-17,PRODUCT_DETAIL_NOCART
1783518504211,bot-browsing-13,HOME
1783518504881,bot-searching-17,PRODUCTS
1783518505208,bot-searching-17,PRODUCT_DETAIL_CART
1783518505695,bot-browsing-14,PRODUCTS
1783518505953,bot-browsing-2,CONTACT
1783518506293,bot-browsing-15,PRODUCTS
1783518507822,bot-browsing-5,HOME
1783518509520,bot-browsing-7,PRODUCTS
1783518511970,bot-browsing-18,HOME
1783518512870,bot-browsing-19,HOME
1783518516466,bot-browsing-13,ABOUT
1783518520232,bot-browsing-6,PRODUCT_DETAIL
1783518520534,bot-browsing-9,PRODUCTS
1783518521149,bot-form_filling-20,ABOUT
1783518521439,bot-form_filling-20,PRODUCTS
1783518521665,bot-form_filling-20,CONTACT
1783518521918,bot-browsing-14,PRODUCT_DETAIL
1783518522078,bot-browsing-14,PRODUCTS
1783518524264,bot-browsing-15,HOME
1783518525668,bot-form_filling-20,SUBMIT_CONTACT
1783518526497,bot-browsing-19,PRODUCTS
1783518527806,bot-browsing-16,PRODUCTS
1783518528197,bot-form_filling-20,HOME
1783518531576,bot-browsing-7,PRODUCT_DETAIL
1783518532056,bot-browsing-15,PRODUCTS
1783518532808,bot-browsing-13,CONTACT
1783518533527,bot-browsing-14,PRODUCT_DETAIL
1783518535832,bot-browsing-16,PRODUCT_DETAIL
1783518537412,bot-browsing-21,HOME
1783518540590,bot-browsing-9,PRODUCT_DETAIL
1783518540762,bot-browsing-19,PRODUCT_DETAIL
1783518541116,bot-browsing-14,HOME
1783518541116,bot-browsing-10,PRODUCTS
1783518542580,bot-browsing-22,HOME
1783518544749,bot-browsing-18,PRODUCTS
1783518545181,bot-browsing-5,PRODUCTS
1783518551983,bot-browsing-23,HOME
1783518552023,bot-browsing-7,PRODUCTS
1783518552443,bot-searching-24,HOME
1783518552490,bot-browsing-25,HOME
1783518552498,bot-searching-24,PRODUCTS
1783518552981,bot-browsing-13,HOME
1783518553568,bot-browsing-16,PRODUCTS
1783518553675,bot-searching-24,PRODUCT_DETAIL_CART
1783518553755,bot-searching-24,PRODUCTS
1783518554043,bot-browsing-6,PRODUCTS
1783518554450,bot-searching-24,PRODUCT_DETAIL_CART
1783518554744,bot-browsing-22,PRODUCTS
1783518555078,bot-browsing-7,PRODUCT_DETAIL
1783518555161,bot-searching-26,HOME
1783518555677,bot-browsing-19,PRODUCTS
1783518556065,bot-searching-26,PRODUCTS
1783518557274,bot-browsing-18,PRODUCT_DETAIL
1783518557369,bot-searching-26,PRODUCT_DETAIL_NOCART
1783518557838,bot-browsing-21,PRODUCTS
1783518559262,bot-browsing-9,CONTACT
1783518559590,bot-browsing-5,ABOUT
1783518561040,bot-browsing-13,PRODUCTS
1783518561820,bot-browsing-19,PRODUCT_DETAIL
1783518562299,bot-browsing-25,PRODUCTS
1783518562456,bot-browsing-13,ABOUT
1783518562690,bot-browsing-10,PRODUCT_DETAIL
1783518562898,bot-browsing-25,PRODUCT_DETAIL
1783518562929,bot-searching-26,HOME
1783518562978,bot-searching-26,PRODUCTS
1783518564292,bot-browsing-22,PRODUCT_DETAIL
1783518564454,bot-browsing-6,PRODUCT_DETAIL
1783518564457,bot-browsing-27,HOME
1783518566445,bot-browsing-28,HOME
1783518568168,bot-browsing-6,PRODUCTS
1783518572270,bot-browsing-9,HOME
1783518572990,bot-browsing-18,HOME
1783518573577,bot-browsing-27,PRODUCTS
1783518575143,bot-browsing-22,HOME
1783518575216,bot-browsing-25,CONTACT
1783518575452,bot-browsing-28,ABOUT
1783518576959,bot-searching-26,PRODUCT_DETAIL_CART
1783518578024,bot-searching-26,HOME
1783518578353,bot-searching-26,ABOUT
1783518581144,bot-browsing-21,PRODUCT_DETAIL
1783518582179,bot-browsing-5,HOME
1783518583969,bot-browsing-10,PRODUCTS
1783518587045,bot-browsing-28,HOME
1783518588693,bot-browsing-7,PRODUCTS
1783518589637,bot-browsing-16,ABOUT
1783518589742,bot-browsing-9,PRODUCTS
1783518589979,bot-browsing-21,PRODUCTS
1783518592125,bot-browsing-15,CONTACT
1783518593222,bot-browsing-19,PRODUCTS
1783518596040,bot-browsing-21,PRODUCT_DETAIL
1783518596590,bot-browsing-14,PRODUCTS
1783518597196,bot-browsing-21,CONTACT
1783518600516,bot-browsing-28,CONTACT
1783518601152,bot-browsing-15,HOME
1783518602009,bot-browsing-16,HOME
1783518603363,bot-browsing-21,HOME
1783518605096,bot-browsing-18,PRODUCTS
1783518606288,bot-browsing-25,HOME
1783518606676,bot-searching-29,HOME
1783518609686,bot-browsing-28,HOME
1783518610742,bot-searching-29,PRODUCTS
1783518610825,bot-searching-29,PRODUCT_DETAIL_NOCART
1783518611580,bot-searching-29,HOME
1783518612055,bot-browsing-23,PRODUCTS
1783518613125,bot-browsing-5,PRODUCTS
1783518613128,bot-searching-29,PRODUCTS
1783518613295,bot-searching-29,PRODUCT_DETAIL_NOCART
1783518613335,bot-searching-29,PRODUCTS
1783518613950,bot-browsing-9,CONTACT
1783518617783,bot-browsing-22,PRODUCTS
1783518617870,bot-browsing-30,HOME
1783518619072,bot-browsing-27,PRODUCT_DETAIL
1783518619971,bot-browsing-28,ABOUT
1783518620130,bot-browsing-21,PRODUCTS
1783518620140,bot-browsing-9,HOME
1783518620869,bot-browsing-5,HOME
1783518626516,bot-browsing-14,HOME
1783518626629,bot-browsing-9,CONTACT
1783518626911,bot-browsing-10,PRODUCT_DETAIL
1783518629337,bot-searching-31,HOME
1783518629461,bot-searching-31,PRODUCTS
1783518629498,bot-browsing-30,PRODUCTS
1783518629592,bot-searching-31,PRODUCT_DETAIL_NOCART
1783518631980,bot-searching-31,PRODUCTS
1783518632195,bot-searching-31,CONTACT
1783518632199,bot-browsing-18,CONTACT
1783518636015,bot-browsing-7,PRODUCT_DETAIL
1783518636633,bot-browsing-14,PRODUCTS
1783518638187,bot-browsing-10,PRODUCTS
1783518638712,bot-browsing-9,PRODUCTS
1783518638958,bot-browsing-21,ABOUT
1783518642110,bot-browsing-25,CONTACT
1783518642876,bot-browsing-14,HOME
1783518644595,bot-browsing-32,HOME
1783518645463,bot-browsing-27,HOME
1783518647151,bot-browsing-9,PRODUCT_DETAIL
1783518647637,bot-browsing-18,HOME
1783518649052,bot-browsing-33,HOME
1783518649177,bot-searching-34,HOME
1783518649190,bot-searching-34,CONTACT
1783518649335,bot-searching-34,HOME
1783518650978,bot-browsing-25,PRODUCTS
1783518651088,bot-browsing-10,PRODUCT_DETAIL
1783518652249,bot-browsing-16,PRODUCTS
1783518652846,bot-browsing-21,HOME
1783518653038,bot-browsing-21,PRODUCTS
1783518653362,bot-browsing-19,PRODUCT_DETAIL
1783518655597,bot-browsing-32,PRODUCTS
1783518655810,bot-searching-34,CONTACT
1783518655848,bot-searching-34,HOME
1783518656447,bot-browsing-14,CONTACT
1783518658489,bot-browsing-16,PRODUCT_DETAIL
1783518659882,bot-searching-29,PRODUCT_DETAIL_NOCART
1783518660006,bot-searching-29,PRODUCTS
1783518660536,bot-browsing-35,HOME
1783518660586,bot-browsing-10,PRODUCTS
1783518660929,bot-browsing-18,ABOUT
1783518663761,bot-browsing-25,CONTACT
1783518664804,bot-browsing-27,ABOUT
1783518666580,bot-browsing-35,ABOUT
1783518666632,bot-browsing-19,PRODUCTS
1783518667820,bot-browsing-10,PRODUCT_DETAIL
1783518669228,bot-browsing-30,PRODUCT_DETAIL
1783518672140,bot-browsing-33,PRODUCTS
1783518672361,bot-browsing-23,PRODUCT_DETAIL
1783518672759,bot-browsing-22,PRODUCT_DETAIL
1783518674826,bot-browsing-35,HOME
1783518675113,bot-browsing-23,HOME
1783518677491,bot-browsing-36,HOME
1783518681785,bot-browsing-23,PRODUCTS
1783518685589,bot-browsing-27,PRODUCTS
1783518686426,bot-searching-34,PRODUCTS
1783518686861,bot-browsing-32,HOME
1783518687786,bot-browsing-30,PRODUCTS
1783518691141,bot-browsing-23,ABOUT
1783518691501,bot-searching-34,PRODUCT_DETAIL_CART
1783518693464,bot-browsing-19,HOME
1783518693653,bot-browsing-27,PRODUCT_DETAIL
1783518694433,bot-form_filling-37,PRODUCTS
1783518694585,bot-form_filling-37,HOME
1783518694647,bot-form_filling-37,PRODUCTS
1783518694666,bot-form_filling-37,CONTACT
1783518694694,bot-browsing-22,HOME
1783518694958,bot-browsing-22,CONTACT
1783518696198,bot-browsing-7,HOME
1783518698330,bot-browsing-30,PRODUCT_DETAIL
1783518699162,bot-form_filling-37,SUBMIT_CONTACT
1783518700677,bot-browsing-19,ABOUT
1783518702179,bot-browsing-32,PRODUCTS
1783518705202,bot-browsing-36,PRODUCTS
1783518706263,bot-searching-34,PRODUCTS
1783518706322,bot-searching-34,PRODUCT_DETAIL_NOCART
1783518708247,bot-browsing-25,PRODUCTS
1783518708296,bot-browsing-32,PRODUCT_DETAIL
1783518709738,bot-browsing-22,HOME
1783518710197,bot-browsing-33,PRODUCT_DETAIL
1783518713419,bot-browsing-30,PRODUCTS
1783518718035,bot-browsing-36,PRODUCT_DETAIL
1783518719475,bot-browsing-7,CONTACT
1783518720689,bot-browsing-30,CONTACT
1783518720861,bot-browsing-23,HOME
1783518721060,bot-browsing-25,CONTACT
1783518724234,bot-browsing-33,HOME
1783518729073,bot-browsing-38,HOME
1783518729155,bot-browsing-25,HOME
1783518729580,bot-browsing-32,PRODUCTS
1783518732123,bot-browsing-30,PRODUCTS
1783518732162,bot-browsing-36,PRODUCTS
1783518732408,bot-browsing-39,HOME
1783518734812,bot-browsing-39,PRODUCTS
1783518734883,bot-browsing-35,PRODUCTS
1783518737606,bot-browsing-32,PRODUCT_DETAIL
1783518739064,bot-browsing-30,HOME
1783518739778,bot-browsing-40,HOME
1783518742365,bot-browsing-38,PRODUCTS
1783518743312,bot-searching-41,HOME
1783518743330,bot-searching-41,PRODUCTS
1783518743379,bot-searching-41,PRODUCT_DETAIL_CART
1783518743498,bot-searching-41,HOME
1783518744199,bot-browsing-36,PRODUCT_DETAIL
1783518746066,bot-searching-41,PRODUCTS
1783518746872,bot-searching-41,PRODUCT_DETAIL_CART
1783518746973,bot-searching-41,PRODUCTS
1783518747293,bot-searching-41,PRODUCT_DETAIL_CART
1783518747451,bot-searching-41,PRODUCTS
1783518748974,bot-browsing-35,PRODUCT_DETAIL
1783518749668,bot-browsing-42,HOME
1783518749990,bot-searching-43,HOME
1783518751681,bot-browsing-36,CONTACT
1783518752224,bot-searching-43,ABOUT
1783518752365,bot-searching-43,PRODUCTS
1783518754114,bot-searching-44,HOME
1783518754669,bot-browsing-40,PRODUCTS
1783518755680,bot-browsing-35,HOME
1783518758144,bot-browsing-22,PRODUCTS
1783518761703,bot-searching-41,PRODUCT_DETAIL_NOCART
1783518761903,bot-browsing-35,PRODUCTS
1783518763319,bot-browsing-38,CONTACT
1783518763489,bot-browsing-40,PRODUCT_DETAIL
1783518763773,bot-browsing-42,PRODUCTS
1783518764653,bot-browsing-42,PRODUCT_DETAIL
1783518765160,bot-browsing-32,PRODUCTS
1783518768169,bot-browsing-36,HOME
1783518770783,bot-browsing-42,PRODUCTS
1783518771323,bot-browsing-22,PRODUCT_DETAIL
1783518772098,bot-browsing-35,PRODUCT_DETAIL
1783518774636,bot-searching-45,HOME
1783518774668,bot-searching-44,ABOUT
1783518774685,bot-searching-45,PRODUCTS
1783518774788,bot-searching-45,PRODUCT_DETAIL_CART
1783518774969,bot-searching-46,HOME
1783518774983,bot-searching-44,PRODUCTS
1783518775134,bot-searching-45,PRODUCTS
1783518776205,bot-browsing-23,PRODUCTS
1783518780863,bot-browsing-47,HOME
1783518781765,bot-searching-44,PRODUCT_DETAIL_NOCART
1783518781926,bot-searching-44,PRODUCTS
1783518783380,bot-browsing-39,PRODUCT_DETAIL
1783518783646,bot-browsing-35,PRODUCTS
1783518785683,bot-searching-46,PRODUCTS
1783518785794,bot-searching-46,PRODUCT_DETAIL_CART
1783518786053,bot-searching-46,HOME
1783518786201,bot-searching-46,PRODUCTS
