persona,session_id,start_epoch,end_epoch,status
SEARCHING,1,1783339603,1783339652,OK
FORM_FILLING,3,1783339702,1783339716,OK
BROWSING,2,1783339656,1783339807,OK
SEARCHING,5,1783339802,1783339840,OK
BROWSING,6,1783339851,1783339978,OK
SEARCHING,8,1783339978,1783339991,OK
FORM_FILLING,9,1783339999,1783340010,OK
BROWSING,4,1783339752,1783340027,OK
BROWSING,7,1783339911,1783340041,OK
SEARCHING,12,1783340171,1783340183,FAIL
SEARCHING,13,1783340223,1783340289,OK
BROWSING,11,1783340102,1783340323,OK
SEARCHING,15,1783340323,1783340335,FAIL
BROWSING,10,1783340049,1783340349,OK
SEARCHING,16,1783340359,1783340364,OK
BROWSING,14,1783340289,1783340388,OK
SEARCHING,17,1783340413,1783340460,OK
SEARCHING,18,1783340442,1783340469,OK
BROWSING,19,1783340475,1783340616,OK
BROWSING,20,1783340520,1783340665,OK
SEARCHING,22,1783340643,1783340675,OK
SEARCHING,23,1783340685,1783340688,OK
BROWSING,21,1783340589,1783340701,OK
BROWSING,24,1783340748,1783340847,OK
